"","club","value_eur","Year"
"212","Lazio",2100000,"FIFA 16"
"213","Beşiktaş JK",14000000,"FIFA 16"
"214","Montreal Impact",2100000,"FIFA 16"
"215","Arsenal",10500000,"FIFA 16"
"216","Paris Saint-Germain",10000000,"FIFA 16"
"217","Juventus",4800000,"FIFA 16"
"218","Milan",12000000,"FIFA 16"
"219","Everton",10000000,"FIFA 16"
"220","Atlético Madrid",13000000,"FIFA 16"
"221","VfL Wolfsburg",13000000,"FIFA 16"
"222","Manchester City",5000000,"FIFA 16"
"223","Milan",7500000,"FIFA 16"
"224","Orlando City SC",11000000,"FIFA 16"
"225","FC Porto",5000000,"FIFA 16"
"226","LOSC Lille",12500000,"FIFA 16"
"227","Shakhtar Donetsk",7000000,"FIFA 16"
"228","Borussia Mönchengladbach",15500000,"FIFA 16"
"229","Valencia CF",16500000,"FIFA 16"
"230","Atlético Madrid",11500000,"FIFA 16"
"231","PFC CSKA Moscow",14500000,"FIFA 16"
"232","Tigres U.A.N.L.",16500000,"FIFA 16"
"233","Seattle Sounders FC",13500000,"FIFA 16"
"234","Napoli",12500000,"FIFA 16"
"235","Milan",16500000,"FIFA 16"
"236","Swansea City",12000000,"FIFA 16"
"237","Liverpool",12000000,"FIFA 16"
"238","Borussia Dortmund",16000000,"FIFA 16"
"239","Southampton",11000000,"FIFA 16"
"240","Borussia Dortmund",11500000,"FIFA 16"
"241","Olympique Lyonnais",15500000,"FIFA 16"
"242","West Ham United",16500000,"FIFA 16"
"243","Sevilla FC",12500000,"FIFA 16"
"244","Real Madrid",14500000,"FIFA 16"
"245","Chelsea",17000000,"FIFA 16"
"246","Roma",16500000,"FIFA 16"
"247","Juventus",13000000,"FIFA 16"
"248","Galatasaray SK",12000000,"FIFA 16"
"249","Villarreal CF",11000000,"FIFA 16"
"250","Toronto FC",16500000,"FIFA 16"
"251","Napoli",16500000,"FIFA 16"
"252","AS Monaco",14000000,"FIFA 16"
"253","Paris Saint-Germain",18000000,"FIFA 16"
"254","Spartak Moscow",20500000,"FIFA 16"
"255","Roma",20500000,"FIFA 16"
"256","Valencia CF",20000000,"FIFA 16"
"257","Valencia CF",17000000,"FIFA 16"
"258","AS Monaco",20000000,"FIFA 16"
"259","Everton",20000000,"FIFA 16"
"260","Real Madrid",16500000,"FIFA 16"
"261","Torino",17000000,"FIFA 16"
"262","Athletic Club de Bilbao",19500000,"FIFA 16"
"263","Beşiktaş JK",19000000,"FIFA 16"
"264","Paris Saint-Germain",16000000,"FIFA 16"
"265","FC Barcelona",16500000,"FIFA 16"
"266","FC Porto",16500000,"FIFA 16"
"267","TSG 1899 Hoffenheim",19000000,"FIFA 16"
"268","Sporting CP",19000000,"FIFA 16"
"269","Sassuolo",19500000,"FIFA 16"
"270","Newcastle United",19000000,"FIFA 16"
"271","FC Porto",18000000,"FIFA 16"
"272","Roma",17500000,"FIFA 16"
"273","Manchester City",16000000,"FIFA 16"
"274","Manchester United",15500000,"FIFA 16"
"275","Stoke City",18500000,"FIFA 16"
"276","Villarreal CF",15000000,"FIFA 16"
"277","Manchester United",16000000,"FIFA 16"
"278","Real Sociedad",16000000,"FIFA 16"
"279","SL Benfica",15000000,"FIFA 16"
"280","Villarreal CF",14500000,"FIFA 16"
"281","Valencia CF",17500000,"FIFA 16"
"282","Sporting CP",17000000,"FIFA 16"
"283","Athletic Club de Bilbao",14500000,"FIFA 16"
"284","Milan",18500000,"FIFA 16"
"285","Lazio",14500000,"FIFA 16"
"286","Zenit St. Petersburg",14500000,"FIFA 16"
"287","Everton",15500000,"FIFA 16"
"288","West Bromwich Albion",18000000,"FIFA 16"
"289","SL Benfica",18000000,"FIFA 16"
"290","FC Porto",14500000,"FIFA 16"
"291","FC Bayern München",14500000,"FIFA 16"
"292","VfL Wolfsburg",18000000,"FIFA 16"
"293","FC Schalke 04",15500000,"FIFA 16"
"294","Zenit St. Petersburg",18500000,"FIFA 16"
"295","Borussia Dortmund",14000000,"FIFA 16"
"296","Arsenal",14000000,"FIFA 16"
"297","Hannover 96",14000000,"FIFA 16"
"298","Lazio",17000000,"FIFA 16"
"299","Trabzonspor",13500000,"FIFA 16"
"300","Borussia Mönchengladbach",14500000,"FIFA 16"
"301","Valencia CF",14000000,"FIFA 16"
"302","Toronto FC",15500000,"FIFA 16"
"303","Zenit St. Petersburg",12500000,"FIFA 16"
"304","Borussia Dortmund",13500000,"FIFA 16"
"305","Sevilla FC",13500000,"FIFA 16"
"306","PFC CSKA Moscow",15500000,"FIFA 16"
"307","LA Galaxy",7500000,"FIFA 16"
"308","Roma",1500000,"FIFA 16"
"309","Arsenal",7500000,"FIFA 16"
"310","Everton",6500000,"FIFA 16"
"311","Manchester United",9000000,"FIFA 16"
"312","Napoli",10500000,"FIFA 16"
"313","Lazio",5500000,"FIFA 16"
"314","PFC CSKA Moscow",13500000,"FIFA 16"
"315","New York City FC",6000000,"FIFA 16"
"316","New York City FC",9500000,"FIFA 16"
"317","FC Girondins de Bordeaux",10000000,"FIFA 16"
"318","Galatasaray SK",12500000,"FIFA 16"
"319","Roma",6000000,"FIFA 16"
"320","Manchester City",12500000,"FIFA 16"
"321","Bayer 04 Leverkusen",12500000,"FIFA 16"
"322","Tottenham Hotspur",11000000,"FIFA 16"
"323","Liverpool",13000000,"FIFA 16"
"324","Lazio",10500000,"FIFA 16"
"325","Málaga CF",12000000,"FIFA 16"
"326","Fiorentina",9500000,"FIFA 16"
"327","Fenerbahçe SK",10000000,"FIFA 16"
"328","Valencia CF",9500000,"FIFA 16"
"329","Manchester City",13000000,"FIFA 16"
"330","Dinamo Moscow",9500000,"FIFA 16"
"331","Brøndby IF",10000000,"FIFA 16"
"332","Manchester City",10500000,"FIFA 16"
"333","Manchester United",13000000,"FIFA 16"
"334","Inter",9500000,"FIFA 16"
"335","FC Barcelona",10500000,"FIFA 16"
"336","Peru",0,"FIFA 16"
"337","Leicester City",9500000,"FIFA 16"
"338","Paris Saint-Germain",13000000,"FIFA 16"
"339","Rayo Vallecano",7000000,"FIFA 16"
"340","Milan",12500000,"FIFA 16"
"341","Tottenham Hotspur",14000000,"FIFA 16"
"342","Fiorentina",14500000,"FIFA 16"
"343","Olympique de Marseille",10000000,"FIFA 16"
"344","Lokomotiv Moscow",13000000,"FIFA 16"
"345","Fiorentina",13000000,"FIFA 16"
"346","Lazio",10000000,"FIFA 16"
"347","Spartak Moscow",9000000,"FIFA 16"
"348","SL Benfica",10500000,"FIFA 16"
"349","Inter",13000000,"FIFA 16"
"350","Stoke City",11500000,"FIFA 16"
"351","Roma",14000000,"FIFA 16"
"352","PSV",13500000,"FIFA 16"
"353","Everton",14000000,"FIFA 16"
"354","Sevilla FC",11000000,"FIFA 16"
"355","Athletic Club de Bilbao",13500000,"FIFA 16"
"356","Bayer 04 Leverkusen",15000000,"FIFA 16"
"357","Chelsea",9000000,"FIFA 16"
"358","Liverpool",14500000,"FIFA 16"
"359","Lokomotiv Moscow",10500000,"FIFA 16"
"360","FC Porto",9000000,"FIFA 16"
"361","Bursaspor",13500000,"FIFA 16"
"362","Olympiacos CFP",12000000,"FIFA 16"
"363","Chelsea",11000000,"FIFA 16"
"364","Shakhtar Donetsk",14500000,"FIFA 16"
"365","LOSC Lille",8500000,"FIFA 16"
"366","1. FC Köln",13000000,"FIFA 16"
"367","Lazio",15500000,"FIFA 16"
"368","Atlético Madrid",15500000,"FIFA 16"
"369","FC Schalke 04",12500000,"FIFA 16"
"370","Atlético Madrid",15000000,"FIFA 16"
"371","Real Sociedad",12500000,"FIFA 16"
"372","FC Porto",12000000,"FIFA 16"
"373","Inter",14500000,"FIFA 16"
"374","Ajax",14000000,"FIFA 16"
"375","Olympique Lyonnais",12000000,"FIFA 16"
"376","Villarreal CF",14000000,"FIFA 16"
"377","Sporting CP",12000000,"FIFA 16"
"378","Olympique Lyonnais",14500000,"FIFA 16"
"379","Bayer 04 Leverkusen",12000000,"FIFA 16"
"380","Manchester United",11500000,"FIFA 16"
"381","Inter",14000000,"FIFA 16"
"382","Real Sociedad",13000000,"FIFA 16"
"383","Villarreal CF",11500000,"FIFA 16"
"384","FC Porto",14000000,"FIFA 16"
"385","Stade Rennais FC",13500000,"FIFA 16"
"386","FC Schalke 04",12000000,"FIFA 16"
"387","Bayer 04 Leverkusen",14000000,"FIFA 16"
"388","Tottenham Hotspur",13000000,"FIFA 16"
"389","VfB Stuttgart",10500000,"FIFA 16"
"390","Roma",13000000,"FIFA 16"
"391","Real Sociedad",13500000,"FIFA 16"
"392","PFC CSKA Moscow",11000000,"FIFA 16"
"393","Juventus",11000000,"FIFA 16"
"394","Inter",11000000,"FIFA 16"
"395","Inter",11500000,"FIFA 16"
"396","FC Barcelona",13000000,"FIFA 16"
"397","FC Bayern München",11000000,"FIFA 16"
"398","Kalmar FF",10000000,"FIFA 16"
"399","LA Galaxy",13000000,"FIFA 16"
"400","Swansea City",12500000,"FIFA 16"
"401","Bournemouth",12000000,"FIFA 16"
"402","Genoa",12500000,"FIFA 16"
"403","Roma",10500000,"FIFA 16"
"404","Juventus",12000000,"FIFA 16"
"405","PFC CSKA Moscow",12500000,"FIFA 16"
"406","Sevilla FC",13000000,"FIFA 16"
"407","FC Girondins de Bordeaux",13000000,"FIFA 16"
"408","SL Benfica",12500000,"FIFA 16"
"409","Tottenham Hotspur",12500000,"FIFA 16"
"410","Stade de Reims",11000000,"FIFA 16"
"411","FC Barcelona",12500000,"FIFA 16"
"412","FC Krasnodar",12000000,"FIFA 16"
"413","Palermo",12500000,"FIFA 16"
"414","Torino",10500000,"FIFA 16"
"415","SL Benfica",12000000,"FIFA 16"
"416","Borussia Mönchengladbach",12000000,"FIFA 16"
"417","Sporting CP",10000000,"FIFA 16"
"418","Olympique de Marseille",12000000,"FIFA 16"
"419","Liverpool",10500000,"FIFA 16"
"420","Southampton",12000000,"FIFA 16"
"421","Independiente",12000000,"FIFA 16"
"422","Sassuolo",10000000,"FIFA 16"
"423","Fiorentina",11000000,"FIFA 16"
"424","PSV",9500000,"FIFA 16"
"425","SV Werder Bremen",11000000,"FIFA 16"
"426","Shakhtar Donetsk",11500000,"FIFA 16"
"427","PFC CSKA Moscow",12000000,"FIFA 16"
"428","VfL Wolfsburg",12000000,"FIFA 16"
"429","Athletic Club de Bilbao",9000000,"FIFA 16"
"430","FC Girondins de Bordeaux",9000000,"FIFA 16"
"431","AS Saint-Étienne",11000000,"FIFA 16"
"432","Real Madrid",10000000,"FIFA 16"
"433","Borussia Dortmund",6500000,"FIFA 16"
"434","Roma",1700000,"FIFA 16"
"435","New York City FC",700000,"FIFA 16"
"436","Everton",3100000,"FIFA 16"
"437","Antalyaspor",5500000,"FIFA 16"
"438","Milan",4500000,"FIFA 16"
"439","Newcastle United",4500000,"FIFA 16"
"440","TSG 1899 Hoffenheim",7000000,"FIFA 16"
"441","Atlético Madrid",9000000,"FIFA 16"
"442","Sunderland",8500000,"FIFA 16"
"443","Paris Saint-Germain",4300000,"FIFA 16"
"444","Sporting CP",9000000,"FIFA 16"
"445","Athletic Club de Bilbao",3100000,"FIFA 16"
"446","Sevilla FC",8500000,"FIFA 16"
"447","Athletic Club de Bilbao",6500000,"FIFA 16"
"448","Real Betis",5500000,"FIFA 16"
"449","Udinese",1300000,"FIFA 16"
"450","Eintracht Frankfurt",8500000,"FIFA 16"
"451","Hamburger SV",8500000,"FIFA 16"
"452","Galatasaray SK",10000000,"FIFA 16"
"453","Fenerbahçe SK",7500000,"FIFA 16"
"454","Fenerbahçe SK",9500000,"FIFA 16"
"455","FC Augsburg",6500000,"FIFA 16"
"456","Seattle Sounders FC",9500000,"FIFA 16"
"457","Fenerbahçe SK",4500000,"FIFA 16"
"458","Hamburger SV",3100000,"FIFA 16"
"459","Racing Club",1400000,"FIFA 16"
"460","Shakhtar Donetsk",8000000,"FIFA 16"
"461","Real Madrid",5500000,"FIFA 16"
"462","Villarreal CF",9500000,"FIFA 16"
"463","Lokomotiv Moscow",9000000,"FIFA 16"
"464","PFC CSKA Moscow",4500000,"FIFA 16"
"465","Olympique Lyonnais",6500000,"FIFA 16"
"466","LOSC Lille",6500000,"FIFA 16"
"467","FC Krasnodar",7500000,"FIFA 16"
"468","Chile",0,"FIFA 16"
"469","West Ham United",8500000,"FIFA 16"
"470","Sevilla FC",7500000,"FIFA 16"
"471","Torino",8500000,"FIFA 16"
"472","OGC Nice",10000000,"FIFA 16"
"473","West Bromwich Albion",7500000,"FIFA 16"
"474","AS Monaco",6500000,"FIFA 16"
"475","Sunderland",7500000,"FIFA 16"
"476","Manchester City",5500000,"FIFA 16"
"477","FC Barcelona",7000000,"FIFA 16"
"478","Lazio",8000000,"FIFA 16"
"479","Sevilla FC",6500000,"FIFA 16"
"480","Atalanta",7500000,"FIFA 16"
"481","Manchester United",9500000,"FIFA 16"
"482","Crystal Palace",7500000,"FIFA 16"
"483","FC Nantes",8500000,"FIFA 16"
"484","Aston Villa",8500000,"FIFA 16"
"485","Newcastle United",8500000,"FIFA 16"
"486","Fiorentina",8000000,"FIFA 16"
"487","Genoa",8000000,"FIFA 16"
"488","Liverpool",8000000,"FIFA 16"
"489","Sevilla FC",10500000,"FIFA 16"
"490","RC Celta",9500000,"FIFA 16"
"491","Sporting CP",9500000,"FIFA 16"
"492","Sampdoria",10000000,"FIFA 16"
"493","Sunderland",10500000,"FIFA 16"
"494","Beşiktaş JK",8000000,"FIFA 16"
"495","Milan",10500000,"FIFA 16"
"496","Manchester City",7500000,"FIFA 16"
"497","RC Celta",10000000,"FIFA 16"
"498","Juventus",14000000,"FIFA 16"
"499","TSG 1899 Hoffenheim",10500000,"FIFA 16"
"500","PSV",10500000,"FIFA 16"
"501","Real Madrid",12500000,"FIFA 16"
"502","AS Monaco",10500000,"FIFA 16"
"503","Atlético Madrid",11000000,"FIFA 16"
"504","FC Barcelona",12000000,"FIFA 16"
"505","Everton",12000000,"FIFA 16"
"506","Real Madrid",12000000,"FIFA 16"
"507","Torino",12000000,"FIFA 16"
"508","Shakhtar Donetsk",12000000,"FIFA 16"
"509","Chelsea",10000000,"FIFA 16"
"510","LOSC Lille",12000000,"FIFA 16"
"511","Valencia CF",9000000,"FIFA 16"
"512","Austria",0,"FIFA 16"
"513","Arsenal",10000000,"FIFA 16"
"514","Napoli",12000000,"FIFA 16"
"515","Napoli",10000000,"FIFA 16"
"516","Inter",10000000,"FIFA 16"
"517","Tottenham Hotspur",12000000,"FIFA 16"
"518","1. FSV Mainz 05",10000000,"FIFA 16"
"519","Real Madrid",11500000,"FIFA 16"
"520","SC Braga",11500000,"FIFA 16"
"521","Sunderland",9500000,"FIFA 16"
"522","Trabzonspor",11000000,"FIFA 16"
"523","Arsenal",9500000,"FIFA 16"
"524","Napoli",9500000,"FIFA 16"
"525","Juventus",11500000,"FIFA 16"
"526","Borussia Mönchengladbach",11000000,"FIFA 16"
"527","Olympique de Marseille",11500000,"FIFA 16"
"528","Stade Rennais FC",11500000,"FIFA 16"
"529","Zenit St. Petersburg",9500000,"FIFA 16"
"530","Fenerbahçe SK",9000000,"FIFA 16"
"531","Newcastle United",11000000,"FIFA 16"
"532","Stoke City",10500000,"FIFA 16"
"533","Olympique Lyonnais",11000000,"FIFA 16"
"534","Dinamo Moscow",11500000,"FIFA 16"
"535","Toulouse Football Club",11500000,"FIFA 16"
"536","Southampton",9500000,"FIFA 16"
"537","Levante UD",11000000,"FIFA 16"
"538","Olympiacos CFP",11000000,"FIFA 16"
"539","Southampton",8500000,"FIFA 16"
"540","Arsenal",8500000,"FIFA 16"
"541","West Ham United",10500000,"FIFA 16"
"542","Swansea City",10500000,"FIFA 16"
"543","Spartak Moscow",10000000,"FIFA 16"
"544","Borussia Mönchengladbach",8500000,"FIFA 16"
"545","Bologna",11000000,"FIFA 16"
"546","TSG 1899 Hoffenheim",9000000,"FIFA 16"
"547","Rayo Vallecano",8500000,"FIFA 16"
"548","Shakhtar Donetsk",9000000,"FIFA 16"
"549","Stade Rennais FC",8500000,"FIFA 16"
"550","Boca Juniors",10500000,"FIFA 16"
"551","VfL Wolfsburg",9000000,"FIFA 16"
"552","Villarreal CF",10000000,"FIFA 16"
"553","Bayer 04 Leverkusen",10000000,"FIFA 16"
"554","Southampton",9000000,"FIFA 16"
"555","FC Porto",10500000,"FIFA 16"
"556","Swansea City",8500000,"FIFA 16"
"557","Watford",10500000,"FIFA 16"
"558","Sporting CP",8500000,"FIFA 16"
"559","RCD Espanyol",10500000,"FIFA 16"
"560","Olympique Lyonnais",8500000,"FIFA 16"
"561","Hertha BSC",10000000,"FIFA 16"
"562","FC Schalke 04",10500000,"FIFA 16"
"563","Borussia Mönchengladbach",9500000,"FIFA 16"
"564","Paris Saint-Germain",8000000,"FIFA 16"
"565","Udinese",8500000,"FIFA 16"
"566","Athletic Club de Bilbao",10000000,"FIFA 16"
"567","Os Belenenses",10000000,"FIFA 16"
"568","VfL Wolfsburg",9500000,"FIFA 16"
"569","Kaizer Chiefs",8000000,"FIFA 16"
"570","Lokomotiv Moscow",7500000,"FIFA 16"
"571","Inter",8000000,"FIFA 16"
"572","1. FC Köln",9500000,"FIFA 16"
"573","Deportivo de La Coruña",10000000,"FIFA 16"
"574","AS Monaco",0,"FIFA 16"
"575","Feyenoord",4300000,"FIFA 16"
"576","Dinamo Moscow",5500000,"FIFA 16"
"577","Torino",2600000,"FIFA 16"
"578","Málaga CF",6500000,"FIFA 16"
"579","Liverpool",2600000,"FIFA 16"
"580","Jeonbuk Hyundai Motors",1200000,"FIFA 16"
"581","Leicester City",6000000,"FIFA 16"
"582","Olympiacos CFP",4100000,"FIFA 16"
"583","Manchester City",6000000,"FIFA 16"
"584","Atalanta",5500000,"FIFA 16"
"585","Tigres U.A.N.L.",7500000,"FIFA 16"
